,Type,Reynolds,Toil,Tcool,Time,cx,cy,major,minor,angle,AR
197,Macro,1000,32,6,12,179.0,375.0,6.0,4.0,90.0,1.5
198,Macro,1000,32,6,12,126.04234313964844,374.5037536621094,14.355164527893066,6.324606418609619,70.93659973144531,2.269732466775199
199,Macro,1000,32,6,12,126.5,374.5,11.0,7.0,90.0,1.5714285714285714
200,Macro,1000,32,6,12,303.0,370.5,5.0,4.0,90.0,1.25
201,Macro,1000,32,6,12,141.44064331054688,371.3125,9.985109329223633,7.374802112579346,96.40512084960938,1.3539494588189471
202,Macro,1000,32,6,12,142.0,371.5,8.0,7.0,90.0,1.1428571428571428
203,Macro,1000,32,6,12,1.5,369.0,4.0,3.0,90.0,1.3333333333333333
204,Macro,1000,32,6,12,51.0,368.0,4.0,4.0,90.0,1.0
205,Macro,1000,32,6,12,248.22640991210938,367.26416015625,9.909455299377441,7.731179714202881,99.21747589111328,1.281752030828215
206,Macro,1000,32,6,12,248.0,367.5,8.0,5.0,90.0,1.6
207,Macro,1000,32,6,12,184.0,367.0,4.0,4.0,90.0,1.0
208,Macro,1000,32,6,12,76.5,368.5,12.507732391357422,5.792623996734619,113.9415054321289,2.1592515582589513
209,Macro,1000,32,6,12,76.5,368.5,11.3189058303833,5.487954616546631,30.963756561279297,2.0624998968205523
210,Macro,1000,32,6,12,366.0,365.0,4.0,4.0,90.0,1.0
211,Macro,1000,32,6,12,290.2689208984375,364.7731018066406,7.944725513458252,6.9812493324279785,22.5,1.138009134920152
212,Macro,1000,32,6,12,290.5,365.0,6.0,5.0,90.0,1.2
213,Macro,1000,32,6,12,271.2727355957031,364.2727355957031,7.106690406799316,6.428243637084961,45.0,1.1055415457187017
214,Macro,1000,32,6,12,271.5,364.5,5.0,5.0,90.0,1.0
215,Macro,1000,32,6,12,262.5,364.0,7.849597454071045,6.387300968170166,148.28253173828125,1.228938090312002
216,Macro,1000,32,6,12,262.5,364.0,6.0,5.0,90.0,1.2
217,Macro,1000,32,6,12,240.0,362.0,4.0,4.0,90.0,1.0
218,Macro,1000,32,6,12,213.0,362.0,6.0,4.0,90.0,1.5
219,Macro,1000,32,6,12,202.78294372558594,363.27545166015625,19.42344856262207,11.069426536560059,75.8792724609375,1.7546932985616175
220,Macro,1000,32,6,12,198.5,363.5,11.0,9.0,90.0,1.2222222222222223
221,Macro,1000,32,6,12,131.2644805908203,359.3741149902344,11.223455429077148,8.311034202575684,132.72335815429688,1.3504282566421002
222,Macro,1000,32,6,12,132.0,358.5,8.0,7.0,90.0,1.1428571428571428
223,Macro,1000,32,6,12,260.5,355.5,7.071067810058594,5.773502826690674,45.0,1.224744842484415
224,Macro,1000,32,6,12,260.5,355.5,5.0,5.0,90.0,1.0
225,Macro,1000,32,6,12,142.66943359375,354.8214111328125,10.515922546386719,7.7063422203063965,53.101112365722656,1.3645802698298306
226,Macro,1000,32,6,12,143.5,355.5,7.0,7.0,90.0,1.0
227,Macro,1000,32,6,12,314.0,353.0,4.0,4.0,90.0,1.0
228,Macro,1000,32,6,12,60.0,352.5,5.0,4.0,90.0,1.25
229,Macro,1000,32,6,12,157.77207946777344,356.732666015625,20.24086570739746,8.125812530517578,17.054767608642578,2.4909343688868253
230,Macro,1000,32,6,12,157.00001525878906,357.5,18.782970428466797,8.497057914733887,26.56505012512207,2.210526351232366
231,Macro,1000,32,6,12,71.76664733886719,352.8994140625,11.721637725830078,8.767797470092773,106.5691909790039,1.336896497189054
232,Macro,1000,32,6,12,72.0,353.0,10.0,8.0,90.0,1.25
233,Macro,1000,32,6,12,327.821044921875,350.62994384765625,8.896467208862305,7.754019260406494,105.03648376464844,1.1473362278437156
234,Macro,1000,32,6,12,328.0,350.5,8.0,7.0,90.0,1.1428571428571428
235,Macro,1000,32,6,12,240.5,349.0,8.73733139038086,5.214605331420898,18.591798782348633,1.675549890177417
236,Macro,1000,32,6,12,240.5,349.0,6.0,5.0,90.0,1.2
237,Macro,1000,32,6,12,388.0,347.0,4.0,4.0,90.0,1.0
238,Macro,1000,32,6,12,113.95889282226562,351.76922607421875,16.823083877563477,9.134140014648438,149.17852783203125,1.841780819057324
239,Macro,1000,32,6,12,115.0,352.0,14.0,10.0,90.0,1.4
240,Macro,1000,32,6,12,79.0,347.0,4.0,4.0,90.0,1.0
241,Macro,1000,32,6,12,127.0,346.0,4.0,4.0,90.0,1.0
242,Macro,1000,32,6,12,99.0,346.0,12.52321720123291,5.043629169464111,71.51943969726562,2.482977391964665
243,Macro,1000,32,6,12,99.0,346.0,8.0,6.0,90.0,1.3333333333333333
244,Macro,1000,32,6,12,315.7731018066406,344.2689208984375,7.944725513458252,6.9812493324279785,67.5,1.138009134920152
245,Macro,1000,32,6,12,316.0,344.5,6.0,5.0,90.0,1.2
246,Macro,1000,32,6,12,153.0,343.0,6.0,4.0,90.0,1.5
247,Macro,1000,32,6,12,282.4970397949219,348.3586120605469,17.48360252380371,9.062085151672363,171.29832458496094,1.9293134230345648
248,Macro,1000,32,6,12,282.5,347.5,15.0,9.0,90.0,1.6666666666666667
249,Macro,1000,32,6,12,207.0,341.0,4.0,4.0,90.0,1.0
250,Macro,1000,32,6,12,81.5,340.0,5.0,4.0,90.0,1.25
251,Macro,1000,32,6,12,3.0,338.0,4.0,4.0,90.0,1.0
252,Macro,1000,32,6,12,185.5,337.0,5.0,4.0,90.0,1.25
253,Macro,1000,32,6,12,341.7310791015625,334.7731018066406,7.944725513458252,6.9812493324279785,157.5,1.138009134920152
254,Macro,1000,32,6,12,341.5,335.0,6.0,5.0,90.0,1.2
255,Macro,1000,32,6,12,291.47747802734375,334.43768310546875,17.3174991607666,6.200364589691162,82.15419006347656,2.7929807852846245
256,Macro,1000,32,6,12,291.5,334.5,13.873414993286133,6.4559454917907715,74.05460357666016,2.1489362032141135
257,Macro,1000,32,6,12,155.5,331.0,5.0,4.0,90.0,1.25
258,Macro,1000,32,6,12,252.0,330.0,6.0,4.0,90.0,1.5
259,Macro,1000,32,6,12,73.19336700439453,331.4818115234375,12.719853401184082,8.007709503173828,157.6958465576172,1.5884509042370496
260,Macro,1000,32,6,12,73.0,332.0,8.0,8.0,90.0,1.0
261,Macro,1000,32,6,12,88.12714385986328,330.2993469238281,16.296588897705078,8.235398292541504,101.71983337402344,1.9788464769778404
262,Macro,1000,32,6,12,90.0,330.0,8.0,8.0,90.0,1.0
263,Macro,1000,32,6,12,141.29498291015625,329.8681640625,14.61416244506836,5.222892761230469,173.57061767578125,2.7980973596757113
264,Macro,1000,32,6,12,141.5,329.5,9.0,5.0,90.0,1.8
265,Macro,1000,32,6,12,132.5,326.0,5.0,4.0,90.0,1.25
266,Macro,1000,32,6,12,101.2727279663086,326.7272644042969,7.106690406799316,6.428243637084961,135.0,1.1055415457187017
267,Macro,1000,32,6,12,101.5,326.5,5.0,5.0,90.0,1.0
268,Macro,1000,32,6,12,361.0,323.0,8.0,4.0,90.0,2.0
269,Macro,1000,32,6,12,197.0,323.0,4.0,4.0,90.0,1.0
270,Macro,1000,32,6,12,78.0286865234375,320.8804626464844,11.142696380615234,5.585489749908447,160.9295196533203,1.9949363224232712
271,Macro,1000,32,6,12,78.0,321.5,7.0,6.0,90.0,1.1666666666666667
272,Macro,1000,32,6,12,116.5,319.0,5.0,4.0,90.0,1.25
273,Macro,1000,32,6,12,106.5,319.0,5.0,4.0,90.0,1.25
274,Macro,1000,32,6,12,339.88238525390625,320.86785888671875,12.160579681396484,6.9038777351379395,50.50101089477539,1.7614129548534823
275,Macro,1000,32,6,12,340.0,320.5,10.0,9.0,90.0,1.1111111111111112
276,Macro,1000,32,6,12,67.5,318.0,5.0,4.0,90.0,1.25
277,Macro,1000,32,6,12,19.41291046142578,319.70361328125,11.43823528289795,9.69845199584961,128.26507568359375,1.1793877298967783
278,Macro,1000,32,6,12,20.0,320.0,10.0,10.0,90.0,1.0
279,Macro,1000,32,6,12,108.0,312.0,6.0,4.0,90.0,1.5
280,Macro,1000,32,6,12,92.5842514038086,311.5794982910156,26.378551483154297,5.0723185539245605,176.58871459960938,5.200491886051725
281,Macro,1000,32,6,12,92.5,315.0,10.0,5.0,90.0,2.0
282,Macro,1000,32,6,12,67.0,312.0,6.0,4.0,90.0,1.5
283,Macro,1000,32,6,12,334.947509765625,312.193115234375,13.760396957397461,5.465500831604004,73.99027252197266,2.5176827122280554
284,Macro,1000,32,6,12,335.0,312.0,10.0,6.0,90.0,1.6666666666666667
285,Macro,1000,32,6,12,307.6307678222656,309.3594055175781,9.21171760559082,6.080838203430176,106.31480407714844,1.5148762880082105
286,Macro,1000,32,6,12,307.5,309.5,7.0,5.0,90.0,1.4
287,Macro,1000,32,6,12,219.35153198242188,309.8903503417969,15.200262069702148,6.871151924133301,109.78196716308594,2.212185414837767
288,Macro,1000,32,6,12,218.5,310.5,11.0,7.0,90.0,1.5714285714285714
289,Macro,1000,32,6,12,159.0,310.0,8.59278678894043,5.410686016082764,135.0,1.588114106676892
290,Macro,1000,32,6,12,159.0,310.0,6.0,6.0,90.0,1.0
291,Macro,1000,32,6,12,81.54138946533203,309.3479309082031,14.273191452026367,5.040032386779785,97.81105041503906,2.831964232901666
292,Macro,1000,32,6,12,81.5,309.5,9.0,5.0,90.0,1.8
293,Macro,1000,32,6,12,372.8255310058594,310.0442810058594,9.257691383361816,8.426359176635742,117.44231414794922,1.0986585296566942
294,Macro,1000,32,6,12,373.0,309.0,8.0,6.0,90.0,1.3333333333333333
